pass,product,variable,current_kind,verdict,corrected_kind,basis
pass1,humbot,free_plan_cap_value,vendor_silence,CONFIRMED,,"cascade bottoms out in silence, not a gap: upstream free_plan_cap_documented=unknown because no reader-facing document states any limit (the embedded catalog figure never rendered) - matches hand pass1 and adjudicated ismybrandinai/free_plan_cap_value"
pass1,humbot,free_plan_duration,vendor_silence,CONFIRMED,,documents never state perpetual vs time-limited
pass1,humbot,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
pass1,hyperleap,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,"the licence/IP clauses found govern the vendor's own service or materials, not the buyer's outputs; construct unaddressed"
pass1,hyperleap,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,hyperleap,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
pass1,ideogram,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,ideogram,renewal_notice_commitment,vendor_silence,WRONG,instrument_gap,"AUDIT. ""ToS 'reasonable notice' clause (section 2, price/plan changes) does not cover routine renewal charges"" - a documented notice commitment on a different trigger, which the advance_notice_stated/no_notice_stated pair cannot express. Study's own named event-conditional-notice gap (hand: pass1/picsart, adjudicated/colossyan, adjudicated/jobscan)."
pass1,invideo-ai,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,invideo-ai,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
pass1,ismybrandinai,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,"the licence/IP clauses found govern the vendor's own service or materials, not the buyer's outputs; construct unaddressed"
pass1,ismybrandinai,output_ownership_statement,vendor_silence,CONFIRMED,,"ownership clauses cover input data or user-posted contributions, never the generated output"
pass1,jobscan,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,"pass1 read the ToS in full; pass2's English-ToS access barrier is pass2's, not this row's"
pass1,jobscan,credit_rollover_policy,vendor_silence,CONFIRMED,,documents read and searched for rollover/expire/unused language; end-of-period treatment of unused credits never stated
pass1,jobscan,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,jobscan,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
pass1,jobscan,output_ownership_statement,vendor_silence,CONFIRMED,,"pass1 read ToS 8-9 and the SaaS Agreement; both address user posts / uploaded content, never generated output"
pass1,jobscan,trial_card_required,vendor_silence,CONFIRMED,,conversion-implies-a-stored-card reasoning correctly rejected per the codebook's own worked example; no card statement either way
pass1,jobscan,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
pass1,julius-ai,commercial_use_lowest_tier,vendor_silence,CONFIRMED,,"the licence/IP clauses found govern the vendor's own service or materials, not the buyer's outputs; construct unaddressed"
pass1,julius-ai,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,julius-ai,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
pass1,julius-ai,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
pass1,julius-ai,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
pass1,kling-ai,trial_auto_converts,vendor_silence,CONFIRMED,,no document states whether the trial converts automatically or simply ends
pass1,krea-ai,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
pass1,krea-ai,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
pass1,leonardo-ai,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,leonardo-ai,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
pass1,lovo-ai,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
pass1,midjourney,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,midjourney,refund_window_days,vendor_silence,CONFIRMED,,"refund eligibility is gated by lifetime GPU minutes, never a day count; all 12 hand refund_window_days decisions treat a documented-but-non-day refund term as vendor_silence"
pass1,midjourney,watermark_removal_tier,vendor_silence,CONFIRMED,,no document states any tier's watermark/branding status; adjacent non-removal or capability clauses correctly distinguished
pass1,mubert,auto_renewal_default,vendor_silence,CONFIRMED,,'renew'/'automatic' absent from the documents; cancel-anytime language correctly not treated as a renewal statement
pass1,mubert,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,mubert,first_charge_amount_usd,vendor_silence,CONFIRMED,,billing mechanic never stated determinately enough to compute a first charge; rule 3 applies
pass1,mubert,free_plan_watermark,vendor_silence,CONFIRMED,,"free tier's feature cell is empty while paid tiers carry an explicit 'No audible watermark' row, and the FAQ's watermark statement is tier-agnostic; hand runway and recraft precedents call exactly this vendor_silence"
pass1,mubert,renewal_notice_commitment,vendor_silence,CONFIRMED,,"no vendor commitment to notice before a renewal charge in any named document, and no affirmative denial either"
pass1,murf-ai,failed_generation_charge_policy,vendor_silence,CONFIRMED,,"named documents read in full; the metered unit and adjacent cases are documented, the technical-failure case never addressed"
pass1,murf-ai,free_plan_watermark,vendor_silence,CONFIRMED,,"'watermark' absent from every named document (or unstated for the free tier only); output type could carry a mark, so not_applicable ruled out"
