product_id,row_provenance,product_name,category,product_status,paid_submission,entry_tier_name,collection_date,coder_role,coder_pass,archive_status,primary_source_url,archive_status_verified,resolving_captures,local_source_files,headline_price_usd,headline_billing_basis,first_charge_amount_usd,mandatory_addon_present,annual_condition_disclosure,annual_default_toggle,free_plan_exists,free_plan_cap_documented,free_plan_cap_value,free_plan_watermark,free_plan_duration,trial_exists,trial_card_required,trial_length_days,trial_auto_converts,credit_system_present,credit_unit_defined,credit_to_output_rate_published,credit_rate_location,cost_per_output_unit,cost_per_output_computable,computation_assumptions,credit_rollover_policy,failed_generation_charge_policy,auto_renewal_default,auto_renewal_disclosure_location,renewal_notice_commitment,refund_policy_exists,refund_window_days,refund_conditions,cancellation_self_serve,refund_policy_location,commercial_use_lowest_tier,watermark_removal_tier,output_ownership_statement,usage_cap_quantified,unquantified_limit_clause
ideogram,primary,Ideogram AI,AI image generator,active,no,Plus,2026-08-09,primary,1,local_copy_only,https://ideogram.ai/pricing,archived,7,1,15.00,per_month_billed_annually,180.00,no,adjacent,annual_preselected,yes,all_quantified,10 credits per week,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,yes,pricing_page,per_image,partial,"Plus $15/mo billed annually (default state); first charge 15x12=$180.00 (renewals doc: annual plans charge once/yr). Cost/image: 1,000 credits/mo; per-image rate spans 0.125-6 credits across published model/rendering table => range not one figure (partial); range in coder_note.",expires_at_period_end,unknown,on,multiple,unknown,no_refunds_stated,0,not_applicable,self_serve_documented,multiple,free,unknown,user_owns,some_quantified,absent
invideo-ai,primary,InVideo AI,Faceless video,active,no,Plus,2026-08-09,primary,1,archived,https://invideo.io/pricing/,archived,7,20,17.0,per_month_billed_annually,200.0,no,adjacent,annual_preselected,yes,none_quantified,unknown,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,partial,multiple,per_video_minute,no,not_applicable,expires_at_period_end,unknown,on,terms_only,advance_notice_stated,yes,7,conditional,self_serve_documented,terms,free,lowest_paid,user_owns,some_quantified,absent
ismybrandinai,adjudicated,Is My Brand In AI,AI bot checker,active,no,not_applicable,2026-08-17,adjudicated,3,archived,https://ismybrandinai.com/,archived,7,7,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,yes,unknown,unknown,not_applicable,perpetual,no,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,not_applicable,other,yes,"No paid tier exists anywhere on the site (ToS, About, Tools listing, and the AI Bot Checker page all state the tools are free; no pricing page exists per sitemap.xml). Cost per principal output (one robots.txt check) = $0.00; the vendor's free statement is the only figure needed.",not_applicable,not_applicable,no_recurring_billing,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,unknown,not_applicable,unknown,not_applicable,absent
jobscan,adjudicated,Jobscan,AI resume builder,active,no,Quarterly,2026-08-16,adjudicated,3,local_copy_only,https://app.jobscan.co/plan,archived,1,20,29.98,unknown,89.95,no,not_applicable,unknown,yes,all_quantified,5 resume scans per month | 5 ATS & Recruiter Findings,unknown,perpetual,yes,yes,7,yes,yes,yes,partial,pricing_page,per_seat_month,yes,"Quarterly (entry tier), $29.98/mo per default display state (billed $89.95 every 3 months). Principal output = per_seat_month, unmetered (Unlimited scans/optimizations). No allowance to convert; cost per seat-month = the headline monthly price itself = $29.98.",unknown,unknown,on,multiple,unknown,yes,2,conditional,self_serve_documented,dedicated_refund_page,unknown,unknown,unknown,none_quantified,present
julius-ai,primary,Julius AI,AI data analysis,active,no,Plus,2026-08-09,primary,1,local_copy_only,https://julius.ai/pricing,archived,2,7,16.00,per_month_billed_annually,192.00,no,adjacent,annual_preselected,yes,all_quantified,conflicting,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,yes,no,no,absent,other,no,Plus (entry tier): pricing page default Yearly state shows $16/mo; credits-overview docs state annual plans 'billed once per year... all credits granted upfront'; 16 x 12 = 192.00 = first_charge_amount_usd. cost_per_output not computed: credit-to-task rate unpublished.,expires_at_period_end,unknown,on,help_center_only,unknown,yes,unknown,conditional,self_serve_documented,dedicated_refund_page,unknown,unknown,user_owns,some_quantified,present
kling-ai,primary,Kling AI,AI video generator,active,no,Standard,2026-08-09,primary,1,archived,https://app.klingai.com/global/membership/membership-plan,archived,4,5,6.99,per_month_billed_monthly,6.99,no,not_applicable,monthly_preselected,yes,some_quantified,30 element creations,yes,perpetual,yes,unknown,7,unknown,yes,yes,yes,pricing_page,other,yes,"Standard tier, $6.99/mo (default Monthly display state, first-subscription price); 660 credits/mo = 33 720p videos/mo per pricing page; both monthly already, no conversion; 6.99/33=0.2118 -> $0.21/video (720p, duration unstated).",expires_at_period_end,not_charged,on,multiple,advance_notice_stated,no_refunds_stated,0,not_applicable,self_serve_documented,terms,lowest_paid,lowest_paid,user_owns,some_quantified,present
krea-ai,adjudicated,Krea AI,AI image generator,active,no,Basic,2026-08-16,adjudicated,3,archived,https://www.krea.ai/pricing,archived,7,15,5.0,per_month_billed_annually,63.0,no,adjacent,annual_preselected,yes,some_quantified,100 units per day | 1 image concurrency | 0 video concurrency | 50 images per LoRA | up to 2K upscale resolution | up to 20 members,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,yes,pricing_page,per_image,yes,"Basic, Yearly (default): page JSON yearly=$63=$5.25/mo (headline shows $5/mo, see headline_price_usd). Page: 5,000 units/mo=64 Nano Banana 2 gens/mo (image=principal output). 5.25/64=0.082 USD/generation. Docs ~50cr/gen conflicts (~56% gap); see conflict_note.",expires_at_period_end,not_charged,on,multiple,no_notice_stated,no_refunds_stated,0,not_applicable,self_serve_documented,terms,lowest_paid,unknown,conditional,all_caps_quantified,present
leonardo-ai,primary,Leonardo AI,AI image generator,active,no,Essential,2026-08-09,primary,1,local_copy_only,https://leonardo.ai/pricing,archived,4,8,12.00,per_month_billed_monthly,12.00,no,not_applicable,monthly_preselected,yes,some_quantified,150 Fast Tokens per day | 150 Token Bank | 1 Personal collection,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,yes,docs_help_center,per_image,yes,"Essential tier, $12.00/mo per default (Pay Monthly) display state; 8,500 Fast Tokens/mo included; 1 Token=1 Default Image 768x768 per Token Usage help article; price & allowance both already monthly, no period conversion; 8500 images/mo; 12/8500=0.0014 USD/image.",partial_rollover,unknown,on,multiple,no_notice_stated,yes,unknown,conditional,self_serve_documented,multiple,free,unknown,conditional,some_quantified,present
lovo-ai,primary,LOVO AI,AI voice,discontinued,no,Basic,2026-08-09,primary,1,archived,https://lovo.ai/pricing,archived,6,12,24.0,per_seat_per_month,288.0,no,adjacent,annual_preselected,yes,all_quantified,5 mins voice generation per month | 5 voice clones | 1 GB storage | 5 projects | 500 chars per generation | 5 mins auto-subtitles per month,yes,perpetual,yes,no,14,no,no,not_applicable,not_applicable,not_applicable,per_audio_minute,yes,"Basic tier (entry paid tier), default display=annual, $24/mo ($288/yr) per pricing page; includes 2 Hrs (120 min) Voice Generation/mo per featurePolicy; both already monthly basis. 24/120=0.20 USD per audio minute.",not_applicable,unknown,on,multiple,unknown,yes,1,unconditional,self_serve_documented,terms,lowest_paid,lowest_paid,user_owns,all_caps_quantified,absent
midjourney,primary,Midjourney,AI image generator,active,no,Basic Plan,2026-08-09,primary,1,local_copy_only,https://docs.midjourney.com/hc/en-us/articles/27870484040333-Comparing-Midjourney-Plans,local_copy_only,0,6,10.00,per_month_billed_monthly,10.00,no,adjacent,no_toggle,no,not_applicable,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,not_applicable,yes,yes,yes,docs_help_center,per_image,yes,"Basic Plan, $10/mo headline (monthly-billed, default state), 200 min Fast GPU/mo (plans page); SD image=0.8min/4 images (GPU-Speed docs); $10/200min=$0.05/min; 0.8x$0.05=$0.04 per 4-img batch; /4=$0.01/image (SD rate used; HD costs more per image, not used).",expires_at_period_end,unknown,on,help_center_only,no_notice_stated,yes,unknown,conditional,self_serve_documented,dedicated_refund_page,lowest_paid,unknown,conditional,all_caps_quantified,present
mubert,primary,Mubert,AI music generator,active,no,Creator,2026-08-09,primary,1,archived,https://mubert.com/render/pricing,archived,4,15,11.69,per_month_billed_annually,unknown,no,adjacent,annual_preselected,yes,some_quantified,25 generations per month | 5 MP3 downloads per month,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,not_applicable,other,yes,"Creator tier, $11.69/mo billed annually per default display state; 500 track generations/mo included; both already monthly, no period conversion needed. 11.69/500=0.02338 -> ~$0.02 per track generation.",not_applicable,unknown,unknown,absent,unknown,no_refunds_stated,0,not_applicable,self_serve_documented,multiple,mid_tier,lowest_paid,vendor_license_retained,all_caps_quantified,absent
murf-ai,primary,Murf AI,AI voice,active,no,Creator,2026-08-09,primary,1,archived,https://murf.ai/pricing,archived,12,13,19.0,per_month_billed_annually,228.0,no,adjacent,annual_preselected,yes,all_quantified,10 Projects | 10 minutes of Voice Generation | 1 Editor,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,not_applicable,per_audio_minute,yes,"Creator tier, default annual display state: $19/mo = $228/yr (murf.ai/pricing). Allowance: 24 hrs/yr VGT = 1,440 min/yr (pricing-page FAQ: yearly plans carry no separate monthly cap). Both already same-period (annual): 228/1440 = $0.1583/min. Cross-check on monthly basis: 19 / (1440/12=120 min) = $0.1583/min. Reported as ~$0.16 per audio minute.",not_applicable,unknown,on,multiple,no_notice_stated,yes,1,conditional,self_serve_documented,terms,free,unknown,unknown,all_caps_quantified,absent
myperfectresume,primary,MyPerfectResume,AI resume builder,active,no,1-Year Premium Access,2026-08-10,primary,1,archived,https://www.myperfectresume.com/pricing,archived,2,4,7.95,per_month_billed_annually,95.4,no,adjacent,no_toggle,yes,some_quantified,unlimited txt-format downloads,unknown,perpetual,yes,unknown,14,yes,no,not_applicable,not_applicable,not_applicable,per_seat_month,yes,"Entry tier 1-Year Premium Access, $7.95/month per default display state (billed $95.40/yr up-front per pricing page); unit=per_seat_month (unmetered flat-rate access, no per-document metering); cost per seat-month = plan price = 7.95; already monthly, no period conversion needed.",not_applicable,not_applicable,on,multiple,no_notice_stated,yes,14,conditional,self_serve_documented,multiple,unknown,unknown,user_owns,all_caps_quantified,absent
nicepage,adjudicated,Nicepage,AI website builder,active,yes,Personal,2026-08-16,adjudicated,3,archived,https://nicepage.com/premium,archived,9,10,6.75,per_month_billed_annually,81.0,no,adjacent,no_toggle,yes,some_quantified,"2 desktop projects | 2 online projects | 50 block layouts | 10 grid styles | 250 Mb storage per site | 1,000 monthly visits per site | 50 form submissions (lifetime) | 20 calendar appointments (lifetime)",yes,perpetual,yes,unknown,7,no,no,not_applicable,not_applicable,not_applicable,per_seat_month,yes,"Personal tier (entry, Subscription toggle, annual default display state), $6.75/mo billed annually = one annual charge; 6.75x12=81.00. Unit per_seat_month, unmetered single-seat access; price and allowance already share one period, 6.75/1=6.75 per seat-month, no conversion needed.",not_applicable,not_applicable,on,multiple,unknown,conflicting,conflicting,conflicting,self_serve_documented,terms,free,lowest_paid,unknown,some_quantified,absent
openai-sora,adjudicated,OpenAI Sora,AI video generator,discontinued,no,unknown,2026-08-17,adjudicated,3,local_copy_only,https://sora.com,archived,4,18,unknown,unknown,unknown,no,unknown,unknown,unknown,unknown,unknown,yes,unknown,unknown,unknown,unknown,unknown,yes,yes,partial,docs_help_center,per_video_minute,no,not_applicable,partial_rollover,unknown,on,terms_only,advance_notice_stated,no_refunds_stated,0,not_applicable,self_serve_documented,terms,unknown,highest_tier,user_owns,some_quantified,present
originality-ai,primary,Originality.ai,AI detector,active,no,Pro,2026-08-10,primary,1,local_copy_only,https://originality.ai/pricing,local_copy_only,0,7,12.95,per_month_billed_annually,155.40,no,adjacent,annual_preselected,yes,all_quantified,2000 words per scan | 3 scans per day,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,yes,multiple,per_1k_words,yes,"Pro, $12.95/mo (billed annually, default state); 2,000 credits/mo; 1 credit=100 words (AI-only, pricing FAQ); both already monthly, no conversion. 2000x100=200,000 words/mo=200 per-1k-word units. 12.95/200=$0.0648/1k words.",expires_at_period_end,unknown,on,multiple,unknown,yes,unknown,conditional,self_serve_documented,multiple,unknown,not_applicable,user_owns,all_caps_quantified,absent
phrasly,primary,Phrasly,AI humanizer,active,no,Unlimited,2026-08-10,primary,1,local_copy_only,https://phrasly.ai/pricing,local_copy_only,0,5,10.99,per_month_billed_annually,131.88,no,adjacent,annual_preselected,yes,some_quantified,unlimited AI detector (no cap stated),no,perpetual,yes,unknown,3,yes,yes,yes,partial,pricing_page,per_seat_month,yes,"Unlimited tier, annual toggle default, TRY524.43/mo billed annually (D-007 re-check 2026-08-10: headline_price_usd=unknown, was non_usd; no USD figure published either way). per_seat_month=unmetered, cost/output=price itself=524.43 TRY. first_charge=524.43x12=6293.16 TRY/yr (TRY-denominated only, first_charge_amount_usd itself is unknown); basis=pricing page 'billed annually' + ToS S5 'yearly subscription will automatically renew'.",unknown,unknown,on,terms_only,no_notice_stated,yes,14,conditional,self_serve_documented,terms,unknown,no_watermark,unknown,some_quantified,present
picsart,primary,Picsart,AI design,active,no,Pro,2026-08-10,primary,1,archived,https://picsart.com/pricing/,archived,4,11,unknown,per_month_billed_annually,unknown,no,adjacent,annual_preselected,yes,unknown,unknown,unknown,perpetual,yes,unknown,unknown,yes,yes,yes,partial,multiple,per_seat_month,yes,not_applicable,expires_at_period_end,not_charged,on,terms_only,unknown,no_refunds_stated,0,not_applicable,self_serve_documented,multiple,free,unknown,user_owns,all_caps_quantified,absent
pika,adjudicated,Pika,AI video generator,active,no,Standard,2026-08-16,adjudicated,3,archived,https://pika.art/pricing,archived,4,13,8.0,per_month_billed_annually,96.0,no,adjacent,annual_preselected,yes,all_quantified,80 video credits per month | 480p max resolution,yes,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,yes,pricing_page,per_video_minute,partial,"Standard (entry tier), $8/mo billed yearly per default display state, 700 credits/mo included, same period so no conversion needed. Model 2.5 rate is resolution-dependent (480p/720p/1080p), each exact, none vendor-designated as principal. Range in coder_note.",expires_at_period_end,unknown,on,multiple,advance_notice_stated,no_refunds_stated,0,not_applicable,self_serve_documented,multiple,mid_tier,mid_tier,user_owns,all_caps_quantified,present
pixlr,primary,Pixlr,AI image generator,active,no,Plus,2026-08-10,primary,1,archived,https://pixlr.com/pricing/,archived,6,3,2.49,per_month_billed_monthly,2.49,no,not_applicable,monthly_preselected,yes,none_quantified,unknown,unknown,perpetual,yes,unknown,7,yes,yes,yes,partial,pricing_page,per_image,partial,"Plus (entry tier): $2.49/mo, monthly default state, 80 AI credits/mo incl (same period as price, no conversion needed). Page's own estimate: ~80 fast images per 80 credits => ~1 credit/fast image (vendor's approx, not exact). 2.49/80=$0.031/fast image. Pro/ultra/video rates not exact figures.",expires_at_period_end,unknown,on,terms_only,unknown,no_refunds_stated,0,not_applicable,self_serve_documented,multiple,free,unknown,unknown,some_quantified,present
playht,primary,PlayHT,AI voice,discontinued,no,Creator,2026-08-13,primary,1,archived,https://play.ht/pricing/,archived,4,0,31.2,per_month_billed_annually,374.4,no,adjacent,annual_preselected,yes,all_quantified,1000 characters,yes,perpetual,unknown,unknown,unknown,unknown,no,not_applicable,not_applicable,not_applicable,other,yes,"Creator tier (entry), default annual state: $374.40/yr ($31.20/mo billed annually) per pricing page; 3,000,000 characters/yr included (=250,000/mo). 374.40/3,000,000=$0.0001248/char = $0.1248 per 1,000 chars. Price+allowance already same period; no conversion needed.",not_applicable,unknown,on,terms_only,no_notice_stated,yes,1,conditional,self_serve_documented,multiple,free,lowest_paid,user_owns,all_caps_quantified,present
plus-ai,primary,Plus AI,AI presentation,active,no,Basic,2026-08-10,primary,1,local_copy_only,https://plusai.com/pricing,local_copy_only,0,9,10.00,per_seat_per_month,unknown,no,adjacent,annual_preselected,no,not_applicable,not_applicable,not_applicable,not_applicable,yes,yes,7,yes,yes,yes,partial,docs_help_center,per_presentation,partial,"Entry tier Basic, $10/user/mo billed annually per default display state (already a monthly figure; no period conversion needed under rule 3). Included allowance: 1,500 AI credits/mo (also monthly, same period). Docs state a typical task costs 40-170 credits with no rule for which figure applies -> range, not a single figure -> cost_per_output_computable = partial per rule 8; cost_per_output_value_usd is not_computable. The implied per-task range is recorded in coder_note.",expires_at_period_end,unknown,on,multiple,unknown,no_refunds_stated,0,not_applicable,self_serve_documented,multiple,unknown,unknown,user_owns,all_caps_quantified,present
quillbot,primary,QuillBot,AI humanizer,active,no,Premium,2026-08-10,primary,1,archived,https://quillbot.com/premium,archived,4,9,4.17,per_month_billed_annually,49.95,no,adjacent,no_toggle,yes,some_quantified,"125 words/paraphrase (2 modes) | humanize 125 words & 6 uses/day (pricing pg; help ctr says 3 uses, see conflict_note) | summarize 1200 words | AI Detector 1200 words & 10 scans/day | translate 5000 chars | AI Chat 20 queries/day | image gen 3/day | presentation gen 3/day | Flow storage 10MB",unknown,perpetual,no,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,not_applicable,per_seat_month,yes,"Premium=entry tier, default display Annual: $4.17/mo billed annually = $49.95/yr (SSR JSON on pricing page). Principal output=per_seat_month (unmetered core writing suite per pricing-page framing). Cost/seat-month = $4.17, the published price itself; no allowance conversion needed.",not_applicable,unknown,on,terms_only,no_notice_stated,yes,14,unconditional,self_serve_documented,multiple,highest_tier,unknown,user_owns,some_quantified,present
recraft,adjudicated,Recraft AI,AI image generator,active,no,Basic,2026-08-16,adjudicated,3,archived,https://www.recraft.ai/pricing,archived,15,4,10.0,per_month_billed_annually,120.0,no,adjacent,annual_preselected,yes,some_quantified,3 generations per style per day | 3 image uploads per day | 2 images per generation,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,partial,multiple,per_image,partial,"Basic (entry), annual display: $10/mo = $120/yr, 1,000 credits/mo, same period (no conversion needed). Pricing-page tooltip: native image gen ""usually 1-2 credits"" -> $10/1000=$0.01/credit -> $0.01-$0.02/image. Range, not a single figure; external-model rates range wider still.",expires_at_period_end,charged,on,multiple,advance_notice_stated,yes,14,conditional,self_serve_documented,multiple,lowest_paid,unknown,conditional,some_quantified,present
resume-io,primary,Resume.io,AI resume builder,active,no,Quarterly,2026-08-12,primary,1,archived,https://resume.io/pricing,archived,7,36,49.95,unknown,49.95,no,not_applicable,no_toggle,yes,some_quantified,1 resume | 1 cover letter,unknown,perpetual,yes,unknown,7,yes,no,not_applicable,not_applicable,not_applicable,per_seat_month,yes,"Quarterly tier, $49.95 billed every 3 months per default display state; unlimited resumes/cover letters (no credit/quota system) = per_seat_month unit; 49.95/3=16.65 per seat per month. first_charge_amount_usd read directly from the headline figure, no multiplication performed (no annual-to-monthly conversion applicable to a quarterly-billed tier).",not_applicable,not_applicable,on,multiple,no_notice_stated,yes,7,unconditional,self_serve_documented,multiple,unknown,unknown,user_owns,all_caps_quantified,absent
revid-ai,primary,Revid.ai,Faceless video,active,no,Hobby,2026-08-13,primary,1,archived,https://www.revid.ai/pricing,archived,5,5,39.0,per_month_billed_monthly,39.0,no,not_applicable,monthly_preselected,no,not_applicable,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,not_applicable,yes,yes,partial,docs_help_center,per_video_minute,no,not_applicable,expires_at_period_end,unknown,on,terms_only,unknown,yes,30,conditional,self_serve_documented,terms,lowest_paid,unknown,user_owns,unknown,present
rezi,primary,Rezi,AI resume builder,active,no,Pro,2026-08-10,primary,1,archived,https://www.rezi.ai/pricing,archived,3,5,29.00,per_month_billed_monthly,29.00,no,not_applicable,no_toggle,yes,some_quantified,1 Resume | 1 AI Interview | 3 PDF Downloads,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,not_applicable,per_seat_month,yes,"Pro tier, $29.00/mo billed monthly per default display state (pricing page shows no toggle/annual option for Pro). Pro = unlimited/unmetered resumes, AI interviews, and PDF/DOCX/Drive downloads for one flat per-account fee, so principal-output unit = per_seat_month (unmetered-software rule). Cost per seat-month = plan price = $29.00; no conversion or division required (both price and allowance are already on the same, and only, period).",not_applicable,not_applicable,on,help_center_only,unknown,yes,30,conditional,self_serve_documented,multiple,enterprise_only,unknown,unknown,all_caps_quantified,absent
runway,primary,Runway,AI video generator,active,no,Standard,2026-08-12,primary,1,archived,https://runway.com/pricing,archived,2,5,12.0,per_month_billed_annually,144.0,no,adjacent,annual_preselected,yes,all_quantified,125 credits (one time) | 5GB asset storage,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,yes,pricing_page,per_video_minute,partial,"First charge $144=$12/mo x12, per 'Billed annually'. Cost/output: Standard tier, Yearly default, 625 credits/mo; Gen-4.5 12cr/s->$13.82/min; other advertised models run 28-40cr/s->$32-46/min (full per-model table in coder_note) -- rate varies by model chosen, so partial not yes.",expires_at_period_end,unknown,on,terms_only,unknown,no_refunds_stated,0,not_applicable,self_serve_documented,terms,free,lowest_paid,user_owns,all_caps_quantified,absent
sapling,adjudicated,Sapling AI Detector,AI detector,active,no,Pro,2026-08-16,adjudicated,3,archived,https://sapling.ai/pricing,archived,6,9,25.0,per_month_billed_monthly,25.0,no,not_applicable,monthly_preselected,yes,all_quantified,2000 characters per query,not_applicable,perpetual,yes,no,30,no,no,not_applicable,not_applicable,not_applicable,per_seat_month,yes,"Pro, $25.00/month billed monthly, default display state (unchanged live 2026-08-16). Unit = per_seat_month (rule 2): flat, unmetered access; only caps are a 100,000-char/check limit and the unquantified AUP query clause, not a credit allowance. Cost/seat-month = $25.00 itself; no conversion.",not_applicable,not_applicable,on,terms_only,unknown,no_refunds_stated,0,not_applicable,contact_required,terms,not_applicable,not_applicable,not_applicable,some_quantified,present
shortsfaceless,primary,ShortsFaceless,Faceless video,active,no,Essential,2026-08-12,primary,1,local_copy_only,https://www.shortsfaceless.com/,archived,3,8,19.00,per_month_billed_monthly,19.00,no,not_applicable,no_toggle,no,not_applicable,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,not_applicable,yes,yes,yes,terms,other,yes,"Essential entry tier: $19/mo, pricing page default state (monthly-only, no toggle). Allowance 30 videos/mo (=30 credits/mo per ToS, 1 credit=1 video). Same period both sides, no conversion needed. 19/30=0.633, approx $0.63/video (unit coded 'other').",unknown,unknown,unknown,absent,unknown,yes,unknown,unconditional,unknown,pricing_page,lowest_paid,no_watermark,user_owns,all_caps_quantified,absent
speechify,primary,Speechify,AI voice,active,no,Premium,2026-08-12,primary,1,archived,https://speechify.com/pricing/,archived,6,6,29.0,per_month_billed_monthly,29.0,no,not_applicable,monthly_preselected,yes,all_quantified,10 voices | 1.5x max listening speed,unknown,perpetual,yes,yes,3,yes,no,not_applicable,not_applicable,not_applicable,per_seat_month,yes,"Premium, $29/mo billed monthly (default state, DOM-confirmed). Unit=per_seat_month (unmetered flat-fee access). Cost/seat-month = plan price directly = $29.00/mo; no allowance conversion needed since the unit equals the billing period itself.",not_applicable,unknown,on,terms_only,advance_notice_stated,yes,0,conditional,self_serve_documented,dedicated_refund_page,not_granted,unknown,unknown,all_caps_quantified,absent
squarespace,adjudicated,Squarespace,AI website builder,active,no,Basic,2026-08-17,adjudicated,3,archived,https://www.squarespace.com/pricing,archived,7,10,19.00,per_month_billed_annually,228.00,no,adjacent,annual_preselected,no,not_applicable,not_applicable,not_applicable,not_applicable,yes,no,14,unknown,yes,no,no,absent,per_seat_month,yes,"Basic (entry tier), default annual-preselected toggle. first_charge_amount_usd=228.00 is DIRECTLY PUBLISHED (ld+json Offer 'Basic -- Annually', USD, billingDuration P1Y, eligibleRegion US) -- NOT computed by multiplying a monthly figure by 12. headline_price_usd=19.00 is DERIVED (228.00/12=19.00) as the page's own monthly-styled-headline convention for an annual toggle; on-screen card numerals were unreadable in every capture checked (pre-hydration placeholder), so this is a documented conversion, not a silent one. Unit=per_seat_month; cost/output=plan price itself (19.00), no allowance to convert.",unknown,unknown,on,multiple,advance_notice_stated,yes,14,conditional,self_serve_documented,multiple,lowest_paid,unknown,user_owns,some_quantified,present
stable-audio,primary,Stable Audio,AI music generator,active,no,Pro,2026-08-12,primary,1,archived,https://stableaudio.com/pricing,archived,6,0,11.99,per_month_billed_monthly,11.99,no,not_applicable,no_toggle,yes,all_quantified,10 track generations per month | up to 6 minutes track duration | 6 minutes monthly upload amount | cropped at 30 seconds,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,no,not_applicable,not_applicable,not_applicable,other,yes,"Pro tier, $11.99/mo per default display state (monthly-only billing, no toggle), 250 track generations/mo included per pricing page; 11.99/250=0.048 USD per track generation.",not_applicable,unknown,on,multiple,unknown,no_refunds_stated,0,not_applicable,self_serve_documented,terms,lowest_paid,unknown,user_owns,all_caps_quantified,absent
suno,primary,Suno,AI music generator,active,no,Pro Plan,2026-08-13,primary,1,local_copy_only,https://suno.com/pricing,local_copy_only,0,4,8.0,per_month_billed_annually,unknown,no,adjacent,annual_preselected,yes,all_quantified,50 credits per day | 8 minutes audio upload | 10 songs per day,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,yes,no,no,absent,other,no,"not_applicable -- cost_per_output_computable=no (required credits-per-song rate not published) and first_charge_amount_usd was left unknown rather than calculated (no document states the annual plan's billing frequency), so no arithmetic was performed for either derived figure.",expires_at_period_end,unknown,on,terms_only,unknown,yes,unknown,conditional,self_serve_documented,multiple,lowest_paid,unknown,conditional,all_caps_quantified,present
synthesia,primary,Synthesia,AI avatar,active,no,Starter,2026-08-12,primary,1,archived,https://www.synthesia.io/pricing,archived,8,1,18.00,per_month_billed_annually,conflicting,no,adjacent,annual_preselected,yes,all_quantified,1200 credits per month | 10 minutes of video per month | 25 AI-generated video assets per month | 1 editor,yes,perpetual,no,not_applicable,not_applicable,not_applicable,yes,yes,yes,docs_help_center,per_video_minute,yes,"Starter, default Yearly display: $18/mo (x12=$216.00/yr); allowance 14,500 credits/yr = 1208.33 credits/mo; rate 2 credits/sec = 120 credits/min; 1208.33/120=10.07 min/mo; 18.00/10.07=$1.79/video-minute. Uses price-card figure per rule 1, not the conflicting FAQ total.",expires_at_period_end,unknown,on,multiple,no_notice_stated,no_refunds_stated,0,not_applicable,self_serve_documented,multiple,free,lowest_paid,user_owns,all_caps_quantified,present
teal,adjudicated,Teal,AI resume builder,active,no,"Teal+ Quarterly Plan ($79 billed every 90 days) -- so named in help.tealhq.com's cancellation-policy and 'Teal vs. Teal+' articles; the live pricing page itself labels the cadence only 'Every 90 days', with no plan-name text anywhere on that page.",2026-08-16,adjudicated,3,archived,https://www.tealhq.com/pricing,archived,1,9,79.0,unknown,79.0,no,not_applicable,no_toggle,yes,some_quantified,10 resume templates | top 5 keywords per job description | 1 email template per job stage | 10 AI bullet-generation credits | 2 AI professional-summary credits | 2 AI cover-letter credits,unknown,perpetual,no,not_applicable,not_applicable,not_applicable,yes,no,no,absent,per_seat_month,yes,"Entry tier Teal+ Quarterly, $79 billed every 90 days (default display state, no toggle). Teal+ is unmetered -- every AI-credit and platform-feature row reads ""Unlimited"" -- so there is no per-output allowance to divide by; unit = per_seat_month and the monthly-equivalent subscription price is itself the cost-per-output figure (codebook's unmetered-access rule). Conversion: 90 days treated as 3 x 30-day months, 79 / 3 = 26.33/mo (equivalently 79 x 30/90 = 26.33). Pure period arithmetic on the vendor's own published $79/90-day figure; no usage assumption required. Both passes performed the identical arithmetic and reached the identical $26.33/mo figure by equivalent routes (divide by 3 vs. multiply by 30/90); reconciled into one statement here, not a substantive disagreement -- disagreements.py tags this field PROSE because free-text arithmetic write-ups never match verbatim, not because the numbers differed.",unknown,unknown,on,terms_only,no_notice_stated,yes,14,conditional,self_serve_documented,multiple,unknown,unknown,user_owns,all_caps_quantified,absent
